"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Breach.Submission.Date","Type.of.Breach","Location.of.Breached.Information"
"CHI Health Care, Inc.","MD","Healthcare Provider",722,2018-11-30,"Unauthorized Access/Disclosure","Other Portable Electronic Device, Paper/Films"
"Mind and Motion, LLC","GA","Healthcare Provider",16000,2018-11-30,"Hacking/IT Incident","Network Server"
"CCRM Dallas-Fort Worth","TX","Healthcare Provider",1117,2018-11-30,"Hacking/IT Incident","Email"
"Thielen Student Health Center","IA","Healthcare Provider",599,2018-11-30,"Unauthorized Access/Disclosure","Email"
"Prairie Fields Family Medicine, PC","NE","Healthcare Provider",6450,2018-11-30,"Unauthorized Access/Disclosure","Email"
"OrthoTexas Physicians and Surgeons, PLLC","TX","Healthcare Provider",2172,2018-11-28,"Unauthorized Access/Disclosure","Paper/Films"
"Steward Medical Group","MA","Healthcare Provider",16276,2018-11-28,"Hacking/IT Incident","Network Server"
"Cancer Treatment Centers of America (CTCA) at Western Regional Medical Center","AZ","Healthcare Provider",41948,2018-11-26,"Hacking/IT Incident","Email"
"Baylor Scott & White Medical Center - Frisco","TX","Healthcare Provider",47984,2018-11-26,"Hacking/IT Incident","Network Server"
"Mercy Medical Center- North Iowa","IA","Healthcare Provider",1971,2018-11-26,"Unauthorized Access/Disclosure","Electronic Medical Record"
"East End Disability Associates, Inc.","NY","Healthcare Provider",896,2018-11-20,"Hacking/IT Incident","Email"
"Episcopal Health Services","NY","Healthcare Provider",218055,2018-11-19,"Hacking/IT Incident","Email"
"James R. Etzkorn, MD","MO","Healthcare Provider",6845,2018-11-19,"Unauthorized Access/Disclosure","Paper/Films"
"New York Oncology Hematology, P.C.","NY","Healthcare Provider",128400,2018-11-16,"Hacking/IT Incident","Email"
"Center for Vitreo-Retinal Diseases","IL","Healthcare Provider",20371,2018-11-16,"Hacking/IT Incident","Network Server"
"Georgia Spine & Orthopaedics of Atlanta, LLC","GA","Healthcare Provider",7012,2018-11-16,"Hacking/IT Incident","Email"
"San Mateo Medical Center","CA","Healthcare Provider",5000,2018-11-13,"Unauthorized Access/Disclosure","Other"
"Arthritis & Osteoporosis Consultants of the Carolinas","NC","Healthcare Provider",3930,2018-11-09,"Improper Disposal","Paper/Films"
"American Medical Response, Inc.","TX","Healthcare Provider",912,2018-11-09,"Hacking/IT Incident","Email"
"SUNY Upstate Medical University","NY","Healthcare Provider",1216,2018-11-09,"Unauthorized Access/Disclosure","Electronic Medical Record"
"James R. Etzkorn, MD","MO","Healthcare Provider",6845,2018-11-09,"Hacking/IT Incident","Network Server"
"Utah Healing Center","UT","Healthcare Provider",543,2018-11-07,"Unauthorized Access/Disclosure","Paper/Films"
"Southwest Washington Regional Surgery Center, LLC","WA","Healthcare Provider",2393,2018-11-06,"Hacking/IT Incident","Email"
"Veterans Health Administration","DC","Healthcare Provider",19254,2018-11-06,"Unauthorized Access/Disclosure","Paper/Films"
"FHN Family Counseling Center","IL","Healthcare Provider",4458,2018-11-03,"Theft","Laptop"
"AdventHealth Rollins Brook Hospital","TX","Healthcare Provider",5019,2018-11-02,"Loss","Paper/Films"
"Summit Medical Group","NJ","Healthcare Provider",525,2018-11-02,"Loss","Paper/Films"
"Oprex Surgery (Baytown), L.P. d/b/a Altus Baytown Hospital","TX","Healthcare Provider",40000,2018-11-02,"Hacking/IT Incident","Desktop Computer, Network Server"
"Inova Health System","VA","Healthcare Provider",12331,2018-11-02,"Hacking/IT Incident","Electronic Medical Record, Paper/Films"
"Dallas County Mental Health Mental Retardation Center dba Metrocare Services","TX","Healthcare Provider",1804,2018-11-01,"Hacking/IT Incident","Email"
"Raley's/Bel Air Mart/Nob Hill General Store, Inc.","CA","Healthcare Provider",10124,2018-10-26,"Theft","Laptop"
"CNO ACE","IN","Health Plan",566217,2018-10-25,"Hacking/IT Incident","Other"
"Missouri Department of Mental Health","MO","Healthcare Provider",9000,2018-10-24,"Unauthorized Access/Disclosure","Other"
"The Children's Hospital of Philadelphia","PA","Healthcare Provider",5368,2018-10-23,"Hacking/IT Incident","Email"
"Day Kimball Healthcare","CT","Healthcare Provider",698,2018-10-22,"Unauthorized Access/Disclosure","Electronic Medical Record"
"CJ Elmwood Partners, L.P.","IA","Healthcare Provider",22416,2018-10-22,"Hacking/IT Incident","Network Server"
"Jones Eye Center, P.C.","IA","Healthcare Provider",39605,2018-10-22,"Hacking/IT Incident","Network Server"
"Smith Dental Care","TX","Healthcare Provider",5000,2018-10-17,"Hacking/IT Incident","Desktop Computer, Email"
"Yale University","CT","Healthcare Provider",1102,2018-10-17,"Unauthorized Access/Disclosure","Paper/Films"
"Employees Retirement System of Texas","TX","Health Plan",1248263,2018-10-15,"Unauthorized Access/Disclosure","Other"
"FirstCare Health Plans","TX","Health Plan",8056,2018-10-12,"Unauthorized Access/Disclosure","Email"
"Catawba Valley Medical Center","NC","Healthcare Provider",20000,2018-10-12,"Hacking/IT Incident","Email"
"West Sound Treatment Center","WA","Healthcare Provider",2300,2018-10-11,"Unauthorized Access/Disclosure","Desktop Computer"
"Blue Cross and Blue Shield of North Carolina (Blue Cross NC)","NC","Health Plan",631,2018-10-11,"Unauthorized Access/Disclosure","Paper/Films"
"West Sound Treatment Center","WA","Healthcare Provider",2300,2018-10-11,"Theft","Laptop"
"Indiana University School of Medicine","IN","Healthcare Provider",1431,2018-10-11,"Theft","Paper/Films"
"The May Eye Care Center","PA","Healthcare Provider",30000,2018-10-11,"Hacking/IT Incident","Desktop Computer, Network Server"
"Hormone Logics","FL","Healthcare Provider",3000,2018-10-10,"Theft","Desktop Computer, Email, Laptop, Network Server, Other Portable Electronic Device, Paper/Films"
"Cigna","CT","Health Plan",3500,2018-10-10,"Hacking/IT Incident","Network Server"
"Minnesota Department of Human Services","MN","Health Plan",20800,2018-10-09,"Hacking/IT Incident","Email"
"Oklahoma Department of Human Services","OK","Health Plan",813,2018-10-08,"Hacking/IT Incident","Paper/Films"
"Dr. Robert Carpenter","TX","Healthcare Provider",3000,2018-10-07,"Hacking/IT Incident","Network Server"
"Dr. Amy Woodruff","TX","Healthcare Provider",10862,2018-10-07,"Hacking/IT Incident","Network Server"
"Northwest Surgical Specialists, P.C. ","WA","Healthcare Provider",2050,2018-10-05,"Hacking/IT Incident","Email"
"National Ambulatory Hernia Institute","CA","Healthcare Provider",15974,2018-10-05,"Hacking/IT Incident","Network Server"
"Health First, Inc","FL","Healthcare Provider",42000,2018-10-05,"Hacking/IT Incident","Email"
"University Of Missouri Health","MO","Healthcare Provider",706,2018-10-05,"Unauthorized Access/Disclosure","Paper/Films"
"Tillamook Chiropractic, PC","OR","Healthcare Provider",4058,2018-10-03,"Hacking/IT Incident","Desktop Computer, Network Server"
"New Mexico Retiree Health Care Authority","NM","Health Plan",586,2018-10-02,"Unauthorized Access/Disclosure","Paper/Films"
"Reichert Prosthetics & Orthotics, LLC","WI","Healthcare Provider",3380,2018-09-28,"Theft","Other Portable Electronic Device"
"Toyota Industries North America, Inc. as plan sponsor to the Toyota Industries North America, Inc. Welfare Benefit Plan","IN","Health Plan",19320,2018-09-28,"Hacking/IT Incident","Email"
"University of Michigan/Michigan Medicine","MI","Healthcare Provider",3624,2018-09-28,"Unauthorized Access/Disclosure","Paper/Films"
"Gentle Dentistry Group PC","NJ","Healthcare Provider",831,2018-09-26,"Unauthorized Access/Disclosure","Email"
"Ransom Memorial Hospital ","KS","Healthcare Provider",14329,2018-09-25,"Hacking/IT Incident","Email"
"Personal Assistance Services of Colorado, LLC","CO","Healthcare Provider",1839,2018-09-20,"Hacking/IT Incident","Email"
"The University of Texas Health Science Center at Houston","TX","Healthcare Provider",500,2018-09-18,"Theft","Paper/Films"
"Southwest Oregon IPA","OR","Health Plan",1449,2018-09-18,"Unauthorized Access/Disclosure","Paper/Films"
"Guardant Health, Inc.","CA","Healthcare Provider",1112,2018-09-14,"Hacking/IT Incident","Email"
"WellCare Health Plans, Inc.","FL","Health Plan",26942,2018-09-14,"Unauthorized Access/Disclosure","Paper/Films"
"Blue Cross & Blue Shield of Rhode Island","RI","Health Plan",1567,2018-09-13,"Unauthorized Access/Disclosure","Paper/Films"
"Leominster Dermatology LLP","MA","Healthcare Provider",500,2018-09-13,"Unauthorized Access/Disclosure","Paper/Films"
"Total Diagnostix II, LLC","TX","Healthcare Provider",855,2018-09-12,"Unauthorized Access/Disclosure","Network Server"
"Simonian Sports Medicine Clinic, A Medical Corporation","CA","Healthcare Provider",1541,2018-09-10,"Unauthorized Access/Disclosure","Network Server"
"Ohio Living","OH","Healthcare Provider",6510,2018-09-07,"Hacking/IT Incident","Email"
"TMC HealthCare","AZ","Healthcare Provider",1776,2018-09-07,"Unauthorized Access/Disclosure","Paper/Films"
"Rockdale Blackhawk, LLC d/b/a Little River Healthcare","TX","Healthcare Provider",1494,2018-09-07,"Unauthorized Access/Disclosure","Electronic Medical Record, Other"
"Boston Health Care for the Homeless Program","MA","Healthcare Provider",861,2018-09-07,"Unauthorized Access/Disclosure","Paper/Films"
"Catholic Charities Neighborhood Services, Inc.","NY","Healthcare Provider",565,2018-09-07,"Hacking/IT Incident","Email"
"J.A. Stokes Ltd.","NV","Healthcare Provider",3200,2018-09-05,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server"
"Nebraska Department of Health and Human Services","NE","Health Plan",516,2018-09-04,"Unauthorized Access/Disclosure","Paper/Films"
"Reliable Respiratory","MA","Healthcare Provider",21311,2018-09-01,"Hacking/IT Incident","Email"
"Port City Operating Company doing business as St. Joseph's Medical Center","CA","Healthcare Provider",4984,2018-08-31,"Loss","Other Portable Electronic Device"
"Carpenters Benefit Funds of Philadelphia","PA","Health Plan",20015,2018-08-31,"Hacking/IT Incident","Email"
"Hopebridge","IN","Healthcare Provider",1411,2018-08-31,"Hacking/IT Incident","Email"
"United Methodist Homes","NY","Healthcare Provider",843,2018-08-31,"Unauthorized Access/Disclosure","Email"
"David G. Simon, DMD, PA, d/b/a Simon Orthodontics","FL","Healthcare Provider",15129,2018-08-31,"Hacking/IT Incident","Network Server"
"Family Tree Relief Nursery","OR","Healthcare Provider",2000,2018-08-30,"Hacking/IT Incident","Network Server"
"Greigh I. Hirata M.D. Inc, dba. Fetal Diagnostic Institute of the Pacific","HI","Healthcare Provider",40800,2018-08-30,"Hacking/IT Incident","Network Server"
"South Alamo Medical Group P.A","TX","Healthcare Provider",2180,2018-08-30,"Unauthorized Access/Disclosure","Electronic Medical Record, Email, Laptop, Network Server"
"Crossroads Behavioral Health","IA","Healthcare Provider",5000,2018-08-28,"Improper Disposal","Paper/Films"
"Family Medical Group Northeast PC","OR","Healthcare Provider",2077,2018-08-22,"Unauthorized Access/Disclosure","Desktop Computer"
"Legacy Health","OR","Healthcare Provider",38000,2018-08-20,"Hacking/IT Incident","Email"
"Monroe Operations, LLC d/b/a Newport Academy and Center for Families","TN","Healthcare Provider",1165,2018-08-17,"Hacking/IT Incident","Email"
"Authentic Recovery Center, LLC","CA","Healthcare Provider",1790,2018-08-17,"Hacking/IT Incident","Email"
"Wardell Orthopaedics, P.C.","VA","Healthcare Provider",552,2018-08-16,"Unauthorized Access/Disclosure","Other"
"University Medical Center Physicians","TX","Healthcare Provider",18500,2018-08-16,"Hacking/IT Incident","Email"
"AU Medical Center, INC","GA","Healthcare Provider",417000,2018-08-16,"Hacking/IT Incident","Email"
"Gordon Schanzlin New Vision Institute","CA","Healthcare Provider",1130,2018-08-10,"Theft","Paper/Films"
"Wells Pharmacy Network","FL","Healthcare Provider",10000,2018-08-10,"Unauthorized Access/Disclosure","Email, Laptop, Other Portable Electronic Device"
"Anne Arundel Dermatology, P.A.","MD","Healthcare Provider",1310,2018-08-09,"Theft","Paper/Films"
"InterAct of Michigan, Inc.","MI","Healthcare Provider",1290,2018-08-07,"Hacking/IT Incident","Email"
"Central Colorado Dermatology, PC","CO","Healthcare Provider",4065,2018-08-03,"Hacking/IT Incident","Network Server"
"Don White, RN, DC, PC dba Canyon Rd Chiropractic and Massage","OR","Healthcare Provider",2900,2018-08-03,"Hacking/IT Incident","Network Server"
"Kaiser Foundation Health Plan of Colorado","CO","Health Plan",900,2018-08-03,"Unauthorized Access/Disclosure","Paper/Films"
"Lane County Health & Human Services","OR","Healthcare Provider",715,2018-08-01,"Loss","Paper/Films"
"Southwestern Eye Center","AZ","Healthcare Provider",667,2018-08-01,"Unauthorized Access/Disclosure","Paper/Films"
"SSM Health St. Mary's Hospital - Jefferson City","MO","Healthcare Provider",301000,2018-07-30,"Improper Disposal","Paper/Films"
"Confluence Health","WA","Healthcare Provider",33821,2018-07-27,"Hacking/IT Incident","Email"
"Ambercare Corporation, Inc.","NM","Healthcare Provider",2284,2018-07-27,"Theft","Laptop"
"Longwood Orthopedic Associates, Inc.","MA","Healthcare Provider",10000,2018-07-27,"Unauthorized Access/Disclosure","Email"
"Institute on Aging","CA","Healthcare Provider",3907,2018-07-20,"Hacking/IT Incident","Email"
"Boys Town National Research Hospital","NE","Healthcare Provider",105309,2018-07-20,"Hacking/IT Incident","Email"
"NorthStar Anesthesia","TX","Healthcare Provider",19807,2018-07-20,"Hacking/IT Incident","Email"
"MedSpring of Texas, PA","TX","Healthcare Provider",13034,2018-07-20,"Hacking/IT Incident","Email"
"StatCare Group LLC","MD","Healthcare Provider",679,2018-07-20,"Hacking/IT Incident","Email"
"Orlando Orthopaedic Center","FL","Healthcare Provider",19101,2018-07-20,"Unauthorized Access/Disclosure","Network Server"
"Fairbanks North Star Borough","AK","Healthcare Provider",6346,2018-07-19,"Hacking/IT Incident","Network Server"
"Family Physicians of Old Town Fairfax PC  ","VA","Healthcare Provider",500,2018-07-19,"Hacking/IT Incident","Network Server"
"Ruben U. Carvajal, MD","NY","Healthcare Provider",3775,2018-07-17,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record"
"Sunspire Health ","NJ","Healthcare Provider",6737,2018-07-16,"Hacking/IT Incident","Email"
"PA Dept. of Human Services","PA","Healthcare Provider",2130,2018-07-16,"Unauthorized Access/Disclosure","Other"
"Rocky Mountain Health Care Services","CO","Healthcare Provider",1087,2018-07-13,"Theft","Laptop"
"Alive Hospice","TN","Healthcare Provider",1868,2018-07-13,"Hacking/IT Incident","Email"
"Central New York Cardiology","NY","Healthcare Provider",824,2018-07-13,"Loss","Paper/Films"
"Billings Clinic","MT","Healthcare Provider",8435,2018-07-13,"Hacking/IT Incident","Email"
"New England Dermatology, P.C.","MA","Healthcare Provider",16154,2018-07-13,"Improper Disposal","Paper/Films"
"Charles Cole Memorial Hospital","PA","Healthcare Provider",790,2018-07-13,"Hacking/IT Incident","Email"
"Midwestern Regional Medical Center, Inc.","IL","Healthcare Provider",2675,2018-07-12,"Unauthorized Access/Disclosure","Other"
"Blue Springs Family Care, P.C.","MO","Healthcare Provider",44979,2018-07-10,"Hacking/IT Incident","Electronic Medical Record, Network Server"
"The Terteling Co., Inc., Group Benefit Plan ","ID","Health Plan",4824,2018-07-06,"Hacking/IT Incident","Email"
"Overlake arthritis and Osteoporosis Center","WA","Healthcare Provider",627,2018-07-06,"Hacking/IT Incident","Desktop Computer"
"VCU Health System ","VA","Healthcare Provider",4686,2018-07-06,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Health Alliance Plan","MI","Health Plan",2814,2018-07-05,"Hacking/IT Incident","Desktop Computer, Email"
"Home for Little Wanderers","MA","Healthcare Provider",861,2018-07-03,"Unauthorized Access/Disclosure","Paper/Films"
"Physician Associates, LLC","FL","Healthcare Provider",710,2018-07-03,"Unauthorized Access/Disclosure","Other"
"Advanced Orthopedic Center","FL","Healthcare Provider",1647,2018-07-02,"Hacking/IT Incident","Network Server"
"Planned Parenthood of the Heartland","IA","Healthcare Provider",515,2018-06-29,"Unauthorized Access/Disclosure","Paper/Films"
"Hunt Memorial Hospital District","TX","Healthcare Provider",1887,2018-06-29,"Unauthorized Access/Disclosure","Email"
"Arkansas Children's Hospital","AR","Healthcare Provider",4521,2018-06-29,"Unauthorized Access/Disclosure","Electronic Medical Record"
"State of Alaska Department of Health and Social Services","AK","Health Plan",501,2018-06-28,"Hacking/IT Incident","Desktop Computer, Email"
"Associated Dermatology & Skin Cancer Clinic of Helena, PC","MT","Healthcare Provider",1254,2018-06-28,"Theft","Paper/Films"
"Children's Mercy Hospital","MO","Healthcare Provider",1463,2018-06-27,"Hacking/IT Incident","Other"
"Community Cancer Center","IL","Healthcare Provider",500,2018-06-26,"Hacking/IT Incident","Desktop Computer, Network Server"
"San Francisco Department of Public Health","CA","Healthcare Provider",900,2018-06-25,"Unauthorized Access/Disclosure","Network Server"
"University of Michigan/Michigan Medicine","MI","Healthcare Provider",871,2018-06-25,"Theft","Laptop"
"Progressions Behavioral Health Services, Inc.","PA","Healthcare Provider",1303,2018-06-25,"Hacking/IT Incident","Email"
"InfuSystem, Inc.","MI","Healthcare Provider",3882,2018-06-22,"Hacking/IT Incident","Email"
"VA Long Beach Healthcare System","CA","Healthcare Provider",1030,2018-06-22,"Unauthorized Access/Disclosure","Paper/Films"
"Family Healthcare of Lake Norman","NC","Healthcare Provider",500,2018-06-19,"Hacking/IT Incident","Network Server"
"Peter J Parker, M.D., Inc.","CA","Healthcare Provider",628,2018-06-19,"Unauthorized Access/Disclosure","Electronic Medical Record"
"David S. Ng, O.D.","CA","Healthcare Provider",758,2018-06-16,"Theft","Other Portable Electronic Device"
"New Jersey Department of Human Services","NJ","Health Plan",1263,2018-06-15,"Unauthorized Access/Disclosure","Paper/Films"
"CHRISTUS Spohn Hospital Corpus Christi-Shoreline","TX","Healthcare Provider",1805,2018-06-15,"Theft","Paper/Films"
"Dean Health Plan","WI","Health Plan",1311,2018-06-15,"Unauthorized Access/Disclosure","Paper/Films"
"Gwenn S Robinson MD","NM","Healthcare Provider",2500,2018-06-14,"Hacking/IT Incident","Desktop Computer"
"Black River Medical Center","MO","Healthcare Provider",13443,2018-06-13,"Hacking/IT Incident","Email"
"WellCare Health Plans, Inc.","FL","Health Plan",1101,2018-06-13,"Unauthorized Access/Disclosure","Other"
"Denise M. Bowden, LAc","CA","Healthcare Provider",538,2018-06-11,"Theft","Desktop Computer"
"New England Baptist Health","MA","Healthcare Provider",7582,2018-06-08,"Unauthorized Access/Disclosure","Email"
"Massac County Surgery Center dba Orthopaedic Institute Surgery Center","IL","Healthcare Provider",2000,2018-06-08,"Hacking/IT Incident","Email"
"RISE Wisconsin, Inc.","WI","Healthcare Provider",3731,2018-06-07,"Hacking/IT Incident","Network Server"
"Terros Incorporated","AZ","Healthcare Provider",1618,2018-06-05,"Hacking/IT Incident","Email"
"University of Utah Health","UT","Healthcare Provider",607,2018-06-02,"Theft","Laptop, Other Portable Electronic Device"
"Florida Agency for Persons with Disabilities","FL","Health Plan",1951,2018-06-01,"Hacking/IT Incident","Email"
"Dignity Health","CA","Healthcare Provider",55947,2018-05-31,"Unauthorized Access/Disclosure","Email"
"The University of Texas MD Anderson Cancer Center","TX","Healthcare Provider",1266,2018-05-31,"Unauthorized Access/Disclosure","Email"
"Dino-Peds","CO","Healthcare Provider",1357,2018-05-30,"Unauthorized Access/Disclosure","Electronic Medical Record"
"AFLAC","GA","Health Plan",10396,2018-05-29,"Hacking/IT Incident","Email"
"Care Partners Hospice and Palliative Care","OR","Healthcare Provider",600,2018-05-25,"Hacking/IT Incident","Email"
"The Trustees of Purdue University","IN","Healthcare Provider",1711,2018-05-25,"Hacking/IT Incident","Desktop Computer"
"Aultman Hospital","OH","Healthcare Provider",42625,2018-05-25,"Hacking/IT Incident","Email"
"MSK Group","TN","Healthcare Provider",566236,2018-05-22,"Hacking/IT Incident","Network Server"
"Echo Canyon Healthcare, Incorporated dba Heritage Court Post Acute of Scottsdale","AZ","Healthcare Provider",1765,2018-05-21,"Theft","Paper/Films"
"Elmcroft Senior Living, Inc.","TX","Healthcare Provider",10000,2018-05-21,"Hacking/IT Incident","Network Server"
"Holland Eye Surgery and Laser Center","MI","Healthcare Provider",42200,2018-05-18,"Hacking/IT Incident","Desktop Computer"
"UT Physicians","TX","Healthcare Provider",2793,2018-05-18,"Unauthorized Access/Disclosure","Email"
"Associates in Psychiatry and Psychology","MN","Healthcare Provider",6546,2018-05-18,"Hacking/IT Incident","Network Server"
"Hancock County Board of Developmental Disabilities","OH","Healthcare Provider",607,2018-05-17,"Unauthorized Access/Disclosure","Paper/Films"
"LifeBridge Health, Inc","MD","Healthcare Provider",538127,2018-05-15,"Hacking/IT Incident","Network Server"
"OrthoWest, Ltd.","OH","Healthcare Provider",2300,2018-05-14,"Unauthorized Access/Disclosure","Network Server"
"New York City Human Resources Administration/Department of Social Services","NY","Health Plan",2078,2018-05-11,"Unauthorized Access/Disclosure","Paper/Films"
"Dignity Health St. Rose Dominican Hospitals - San Martin","NV","Healthcare Provider",1764,2018-05-10,"Unauthorized Access/Disclosure","Paper/Films"
"Dignity Health St. Rose Dominican Hospitals - Siena","NV","Healthcare Provider",2098,2018-05-10,"Unauthorized Access/Disclosure","Paper/Films"
"Dignity Health St. Rose Dominican Hospitals-DeLIma","NV","Healthcare Provider",2174,2018-05-10,"Unauthorized Access/Disclosure","Paper/Films"
"The Oregon Clinic, P.C. (“The Oregon Clinic”)","OR","Healthcare Provider",64487,2018-05-08,"Hacking/IT Incident","Email"
"Cerebral Palsy Research Foundation of Kansas, Inc.","KS","Healthcare Provider",8300,2018-05-08,"Unauthorized Access/Disclosure","Network Server"
"Baptist Health","AR","Healthcare Provider",3453,2018-05-07,"Unauthorized Access/Disclosure","Network Server"
"Baystate Family Dental, Inc.","MA","Healthcare Provider",500,2018-05-04,"Theft","Paper/Films"
"Florida Hospital ","FL","Healthcare Provider",12724,2018-05-03,"Hacking/IT Incident","Network Server"
"Complete Family Medicine, LLC","NE","Healthcare Provider",1331,2018-04-30,"Theft","Laptop, Paper/Films"
"Medical Center Ophthalmology Associates","TX","Healthcare Provider",3017,2018-04-30,"Unauthorized Access/Disclosure","Email"
"Walgreen Co.","IL","Healthcare Provider",703,2018-04-27,"Theft","Paper/Films"
"Knoxville Heart Group, Inc.","TN","Healthcare Provider",15995,2018-04-27,"Hacking/IT Incident","Email"
"Billings Clinic","MT","Healthcare Provider",949,2018-04-27,"Hacking/IT Incident","Email"
"Eye Care Surgery Center, Inc. ","LA","Healthcare Provider",2553,2018-04-27,"Theft","Laptop"
"Tiger Vision, LLC","LA","Healthcare Provider",2553,2018-04-27,"Theft","Laptop"
"Carolina Digestive Health Associates, PA","NC","Healthcare Provider",10988,2018-04-26,"Unauthorized Access/Disclosure","Desktop Computer"
"CareFirst Blue Cross Blue Shield","MD","Health Plan",6200,2018-04-26,"Hacking/IT Incident","Email"
"Illinois Department of Healthcare and Family Services","IL","Health Plan",8000,2018-04-26,"Unauthorized Access/Disclosure","Paper/Films"
"Scenic Bluffs Health Center Inc","WI","Healthcare Provider",2889,2018-04-24,"Hacking/IT Incident","Email"
"Capital Digestive Care, Inc.","MD","Healthcare Provider",17639,2018-04-23,"Unauthorized Access/Disclosure","Network Server"
"Riverside Medical Center","IL","Healthcare Provider",501,2018-04-20,"Theft","Desktop Computer, Other"
"Capital District Physicians’ Health Plan","NY","Health Plan",839,2018-04-20,"Unauthorized Access/Disclosure","Paper/Films"
"Michael Gruber DMD PA","NJ","Healthcare Provider",4624,2018-04-20,"Hacking/IT Incident","Desktop Computer, Email, Network Server"
"Center for Orthopaedic Specialists - Providence Medical Institute (PMI)","CA","Healthcare Provider",81550,2018-04-18,"Hacking/IT Incident","Network Server"
"Kansas Department for Aging and Disability Services","KS","Healthcare Provider",11000,2018-04-17,"Unauthorized Access/Disclosure","Desktop Computer"
"Inogen, Inc.","CA","Healthcare Provider",29528,2018-04-17,"Hacking/IT Incident","Email"
"Athens Heart Center, P.C.","GA","Healthcare Provider",12158,2018-04-16,"Hacking/IT Incident","Electronic Medical Record"
"Cornerstone Foot & Ankle","NJ","Healthcare Provider",533,2018-04-16,"Unauthorized Access/Disclosure","Email"
"Texas Health Physicians Group","TX","Healthcare Provider",3808,2018-04-13,"Hacking/IT Incident","Email"
"California Physicians Service d/b/a Blue Shield of California","CA","Health Plan",1717,2018-04-13,"Unauthorized Access/Disclosure","Email"
"MorshedEye, PLLC","KY","Healthcare Provider",1100,2018-04-13,"Unauthorized Access/Disclosure","Email"
"Polk County Health Services, Inc","IA","Health Plan",1071,2018-04-12,"Unauthorized Access/Disclosure","Email"
"Atchison Hospital Association","KS","Healthcare Provider",667,2018-04-11,"Hacking/IT Incident","Network Server"
"Henry Ford Health System","MI","Healthcare Provider",1658,2018-04-10,"Loss","Other Portable Electronic Device"
"UnitedHealth Group","MN","Health Plan",896,2018-04-10,"Unauthorized Access/Disclosure","Paper/Films"
"ViaTech Publishing Solutions, Inc.","MN","Health Plan",2431,2018-04-10,"Unauthorized Access/Disclosure","Paper/Films"
"Integrated Rehab Consultants","IL","Healthcare Provider",4292,2018-04-09,"Unauthorized Access/Disclosure","Network Server"
"CA Department of Developmental Services","CA","Health Plan",582174,2018-04-06,"Theft","Paper/Films"
"Walgreen Co.","IL","Healthcare Provider",910,2018-04-06,"Theft","Other"
"Chesapeake Regional Medical Center","VA","Healthcare Provider",2100,2018-04-06,"Theft","Other Portable Electronic Device"
"Diagnostic Radiology & Imaging, LLC","NC","Healthcare Provider",800,2018-04-05,"Hacking/IT Incident","Email"
"Wisconsin Department of Health Services","WI","Health Plan",779,2018-04-03,"Theft","Laptop"
"Fondren Orthopedic Group L.L.P.","TX","Healthcare Provider",11552,2018-04-02,"Unauthorized Access/Disclosure","Paper/Films"
"West Kendall Baptist Hospital","FL","Healthcare Provider",1480,2018-04-02,"Unauthorized Access/Disclosure","Other"
"QUALITY-CARE PHARMACY","CA","Healthcare Provider",2000,2018-04-02,"Theft","Desktop Computer, Other, Other Portable Electronic Device, Paper/Films"
"Sonoma County Indian Health Project, Inc","CA","Healthcare Provider",662,2018-03-30,"Unauthorized Access/Disclosure","Desktop Computer, Email"
"Guardian Pharmacy of Jacksonville","FL","Healthcare Provider",11521,2018-03-30,"Hacking/IT Incident","Email"
"Children’s National Medical Center ","DC","Healthcare Provider",722,2018-03-30,"Theft","Laptop"
"Milligan Chiropractic Group, Inc. d/b/a Del Mar Chiropractic Sports Group","CA","Healthcare Provider",2640,2018-03-30,"Theft","Laptop"
"Middletown Medical P.C.","NY","Healthcare Provider",63551,2018-03-29,"Unauthorized Access/Disclosure","Electronic Medical Record"
"NYC Health + Hospitals/Harlem","NY","Healthcare Provider",595,2018-03-29,"Theft","Laptop"
"Cambridge Health Alliance","MA","Healthcare Provider",2280,2018-03-28,"Hacking/IT Incident","Other"
"Walmart Inc.","AR","Healthcare Provider",741,2018-03-26,"Unauthorized Access/Disclosure","Email, Other"
"Mississippi State Department of Health","MS","Healthcare Provider",30799,2018-03-26,"Unauthorized Access/Disclosure","Email"
"VA Palo Alto Health Care System","CA","Healthcare Provider",1600,2018-03-26,"Unauthorized Access/Disclosure","Paper/Films"
"City of Houston Medical Plan","TX","Health Plan",34637,2018-03-22,"Theft","Laptop"
"National Mentor Healthcare, LLC.","MA","Healthcare Provider",1015,2018-03-21,"Loss","Other Portable Electronic Device"
"Mentor ABI, LLC","MA","Healthcare Provider",994,2018-03-21,"Loss","Other Portable Electronic Device"
"Center for Comprehensive Services, Inc.","MA","Healthcare Provider",1176,2018-03-21,"Loss","Other Portable Electronic Device"
"CareMeridian, LLC","MA","Healthcare Provider",1922,2018-03-21,"Loss","Other Portable Electronic Device"
"Prestera Center for Mental Health Services, Inc.","WV","Healthcare Provider",670,2018-03-20,"Hacking/IT Incident","Email"
"Primary Health Care, Inc.","IA","Healthcare Provider",10313,2018-03-16,"Hacking/IT Incident","Email"
